"cbo_2002","grupo_cargo","n","TITULO"
253210,"Strategic",1965,"Gerente de clientes especiais (private)"
253215,"Strategic",75988,"Gerente de contas - pessoa física e jurídica"
253220,"Strategic",212,"Gerente de grandes contas (corporate)"
253225,"Operational",11976,"Operador de negócios"
253305,"Outros",11,"Corretor de valores, ativos financeiros, mercadorias e derivativos"
254305,"Outros",2,"Auditor-fiscal do trabalho"
254415,"Outros",1,"Técnico de tributos estadual"
261105,"Outros",2,"Arquivista pesquisador (jornalismo)"
261110,"Support",765,"Assessor de imprensa"
261125,"Support",46,"Jornalista"
261130,"Operational",9,"Produtor de texto"
261140,"Outros",2,"Revisor de texto"
261210,"Operational",93,"Documentalista"
261215,"Operational",193,"Analista de informações (pesquisador de informações de rede)"
261305,"Operational",35,"Arquivista"
261705,"Support",2,"Âncora de mídias audiovisuais"
261715,"Outros",4,"Locutor de mídias audiovisuais"
261805,"Outros",1,"Fotógrafo"
262405,"Support",8,"Artista (artes visuais)"
262410,"Support",77,"Desenhista industrial gráfico (designer gráfico)"
301105,"Outros",2,"Técnico de laboratório industrial"
311505,"Outros",8,"Técnico de controle de meio ambiente"
311710,"Outros",3,"Colorista têxtil"
312105,"Support",41,"Técnico de obras civis"
312205,"Outros",4,"Técnico de estradas"
313105,"Outros",5,"Eletrotécnico"
313115,"Outros",4,"Eletrotécnico na fabricação, montagem e instalação de máquinas e equipamentos"
313120,"Outros",1,"Técnico de manutenção elétrica"
313205,"Outros",43,"Técnico de manutenção eletrônica"
313210,"Support",14,"Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)"
313215,"Support",2,"Técnico eletrônico"
313220,"Operational",221,"Técnico em manutenção de equipamentos de informática"
313305,"Operational",18,"Técnico de comunicação de dados"
313310,"Outros",33,"Técnico de rede (telecomunicações)"
313415,"Outros",1,"Encarregado de manutenção de instrumentos de controle, medição e similares"
314405,"Outros",5,"Técnico de manutenção de sistemas e instrumentos"
317105,"Operational",36,"Desenvolvedor web (técnico)"
317110,"Operational",733,"Desenvolvedor de sistemas de tecnologia da informação (técnico)"
317120,"Operational",8,"Desenvolvedor de multimídia"
317205,"Operational",907,"Operador de computador"
317210,"Operational",1444,"Técnico de suporte ao usuário de tecnologia da informação"
318405,"Support",21,"Desenhista técnico (artes gráficas)"
318510,"Outros",3,"Desenhista projetista de construção civil"
321105,"Outros",441,"Técnico agrícola"
321110,"Outros",385,"Técnico agropecuário"
322120,"Outros",15,"Massoterapeuta"
322205,"Outros",6,"Técnico de enfermagem"
322235,"Outros",2,"Auxiliar de enfermagem do trabalho"
322405,"Outros",2,"Técnico em saúde bucal"
322415,"Outros",14,"Auxiliar em saúde bucal"
325205,"Outros",3,"Técnico de alimentos"
331110,"Outros",1,"Auxiliar de desenvolvimento infantil"
333115,"Support",68,"Professores de cursos livres"
341105,"Support",10,"Piloto comercial (exceto linhas aéreas)"
341220,"Outros",2,"Patrão de pesca de alto-mar"
342105,"Outros",1,"Analista de transporte em comércio exterior"
342115,"Outros",1,"Controlador de serviços de máquinas e veículos"
342205,"Support",12,"Ajudante de despachante aduaneiro"
342305,"Outros",20,"Chefe de serviço de transporte rodoviário (passageiros e cargas)"
342610,"Outros",1,"Supervisor de operações portuárias"
351105,"Operational",430,"Técnico de contabilidade"
351110,"Strategic",168,"Chefe de contabilidade (técnico)"
351115,"Outros",68,"Consultor contábil (técnico)"
351305,"Operational",172,"Técnico em administração"
351310,"Outros",1,"Técnico em administração de comércio exterior"
351315,"Outros",10,"Agente de recrutamento e seleção"
351430,"Operational",303,"Auxiliar de serviços jurídicos"
351505,"Operational",131,"Técnico em secretariado"
351605,"Operational",47,"Técnico em segurança do trabalho"
351705,"Operational",125,"Analista de seguros (técnico)"
351710,"Operational",37,"Analista de sinistros"
351715,"Operational",1290,"Assistente comercial de seguros"
351720,"Operational",192,"Assistente técnico de seguros"
351725,"Operational",137,"Inspetor de risco"
351740,"Operational",32,"Técnico de seguros"
351905,"Operational",8,"Agente de inteligência"
352205,"Outros",15,"Agente de defesa ambiental"
352210,"Outros",3,"Agente de saúde pública"
352310,"Outros",6,"Agente fiscal de qualidade"
352410,"Outros",3,"Avaliador de produtos dos meios de comunicação"
353205,"Operational",58,"Técnico de operações e serviços bancários - câmbio"
353210,"Operational",42,"Técnico de operações e serviços bancários - crédito imobiliário"
353215,"Operational",2619,"Técnico de operações e serviços bancários - crédito rural"
353220,"Operational",9,"Técnico de operações e serviços bancários - leasing"
353225,"Operational",476,"Técnico de operações e serviços bancários - renda fixa e variável"
353230,"Strategic",14699,"Tesoureiro de banco"
353235,"Strategic",779,"Chefe de serviços bancários"
354120,"Operational",4243,"Agente de vendas de serviços"
354125,"Operational",1494,"Assistente de vendas"
354130,"Operational",68,"Promotor de vendas especializado"
354135,"Operational",5,"Técnico de vendas"
354140,"Operational",81,"Técnico em atendimento e vendas"
354145,"Support",40,"Vendedor pracista"
354205,"Outros",103,"Comprador"
354210,"Support",35,"Supervisor de compras"
354305,"Outros",17,"Analista de exportação e importação"
354410,"Operational",4,"Avaliador de imóveis"
354415,"Outros",1,"Avaliador de bens móveis"
354505,"Operational",21,"Corretor de seguros"
354605,"Outros",6,"Corretor de imóveis"
354705,"Outros",5,"Representante comercial autônomo"
354805,"Outros",2,"Técnico em turismo"
354810,"Outros",2,"Operador de turismo"
354820,"Support",23,"Organizador de evento"
371105,"Outros",2,"Auxiliar de biblioteca"
372115,"Support",18,"Operador de câmera de televisão"
372205,"Operational",88,"Operador de rede de teleprocessamento"
373225,"Operational",4,"Supervisor de operações (mídias audiovisuais)"
375110,"Support",2,"Designer de vitrines"
375120,"Outros",1,"Decorador de eventos"
376305,"Outros",1,"Apresentador de eventos"
377105,"Outros",1,"Atleta profissional (outras modalidades)"
377110,"Outros",1,"Atleta profissional de futebol"
391105,"Outros",18,"Cronoanalista"
391115,"Outros",20,"Controlador de entrada e saída"
