cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
32995755,2,2,2010-01-18,2010-01-18,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
33022690,2,2,2012-02-14,2012-02-14,6424704,NA,NA,1,1,1,1,1,1,1,1,1,1,1
33924028,2,8,2019-03-19,2015-09-14,6424703,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
37079720,2,2,2012-03-07,2012-03-07,6424703,NA,NA,1,1,1,1,1,1,1,1,1,1,1
37079720,2,2,2012-03-20,2012-03-20,6424703,NA,NA,1,1,1,1,1,1,1,1,1,1,1
37442605,2,2,2015-09-02,2015-09-02,6424703,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
38588174,2,2,2007-04-26,2007-04-26,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
41814369,1,8,2008-12-31,1992-02-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41870841,1,8,1994-07-14,1992-04-14,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42869479,1,2,2005-11-03,1992-07-31,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
42898825,2,2,2005-11-03,2000-05-26,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
42898825,1,2,2005-11-03,1992-08-25,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
44373041,2,8,2007-07-17,2001-12-04,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45421856,1,2,2005-11-03,1974-01-02,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
46065066,1,2,2022-03-15,1967-11-06,6499999,1,1,1,1,1,1,1,1,1,1,1,1,1
47539200,1,8,1990-10-31,1976-06-01,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47944277,1,2,2005-11-03,1976-07-21,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
49028103,1,4,2021-04-13,1977-07-25,6493000,1,1,1,1,1,1,1,1,1,1,1,NA,NA
49091119,1,2,2005-11-03,1970-06-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
49616303,1,4,2019-01-04,1979-03-29,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
53923116,2,8,2020-11-01,1999-05-11,6424704,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
53935029,2,2,2005-11-03,2000-12-22,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
53935029,2,2,2005-11-03,2004-07-02,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
54037916,2,2,2005-11-03,1998-10-22,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
54037916,2,2,NA,2005-06-27,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
54401286,2,2,2002-09-18,2002-09-18,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
55381305,1,8,2011-05-20,1986-01-22,6424703,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55896724,1,8,2012-04-09,1986-07-01,6424703,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57563728,1,2,2005-11-03,1967-11-20,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
57566101,1,8,2000-06-30,1968-01-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58012519,1,8,2018-02-02,1987-09-25,6493000,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
62109566,2,2,2001-02-25,2000-04-26,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
62109566,2,2,2001-02-25,1997-12-05,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
62278809,1,8,2014-10-07,1968-12-09,6424703,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
62953427,1,8,2008-12-31,1970-10-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64237530,1,2,2005-11-03,1990-09-05,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
64655129,1,4,2018-09-06,1990-09-25,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
64764129,1,8,2016-11-01,1990-10-22,6424703,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
65560658,1,8,2021-11-01,1991-02-26,6424703,1,1,1,1,1,1,1,1,1,1,1,NA,NA
67960229,2,2,2001-02-10,1998-03-06,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
67960229,2,2,2001-02-10,2000-11-29,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
71467641,2,8,2010-04-22,1999-03-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73062861,1,8,2008-12-31,1970-05-05,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73077398,1,2,2005-11-03,1969-08-22,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
73271124,1,8,2015-02-09,1993-08-25,6493000,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
73464000,1,8,2008-12-31,1993-10-07,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73654535,1,8,2008-12-31,1993-11-05,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73750424,2,2,2005-11-03,2004-08-10,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
74447418,1,8,2008-12-31,1994-03-01,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76799857,1,8,1994-02-28,1983-07-19,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78157146,2,2,2005-11-03,1998-05-29,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
78157146,2,2,2005-11-03,1998-06-03,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
78717469,1,8,2008-12-15,1985-02-12,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79063574,2,2,2005-04-06,2005-04-06,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
79342069,2,2,2004-10-14,2004-10-14,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
79342069,2,2,2004-10-14,2004-10-14,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
79342069,1,2,2005-11-03,1986-06-16,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
79342069,2,2,2004-10-14,2004-10-14,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
79685111,1,2,2005-11-03,1986-10-22,6493000,1,1,1,1,1,1,1,1,1,1,1,1,1
79692646,1,4,2019-03-22,1986-10-30,6493000,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
80230774,2,8,2021-06-11,2004-09-22,6424702,1,1,1,1,1,1,1,1,1,1,1,NA,NA
80959612,1,2,2005-11-03,1988-10-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81054686,2,2,2004-11-24,2004-11-24,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81099491,2,2,NA,2004-12-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81099491,2,2,NA,2004-12-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81099491,2,2,NA,2004-12-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81115149,2,2,2004-09-27,2004-09-27,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
81115149,2,2,2004-09-27,2004-09-27,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
81466286,1,2,2005-09-24,1989-08-14,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
81673154,2,8,2010-09-28,2005-06-30,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81723108,2,2,2005-09-24,1998-05-04,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
81723108,2,2,NA,2005-03-29,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
81740060,1,8,2003-12-06,1990-02-06,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82065285,2,2,NA,2004-10-13,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
82467762,2,8,2008-12-31,1991-09-12,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82527557,2,2,2004-06-02,2004-06-02,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
82527557,2,2,2004-06-02,2004-06-02,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
82639451,1,2,2005-11-03,1966-08-18,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
82671280,1,8,2008-12-31,1991-07-30,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83326827,1,8,2015-02-09,1992-11-11,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
83584979,1,8,2008-12-31,1993-08-23,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83899013,1,8,2008-12-31,1990-08-23,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84707629,1,8,1985-07-11,1969-12-31,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86389236,2,2,2001-02-25,1999-07-27,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
86493426,1,8,2012-03-01,1994-07-11,6424703,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86585049,1,2,2001-09-15,1994-09-06,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
86803939,2,8,2019-04-16,2004-11-22,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
93119378,1,8,1996-01-31,1989-10-18,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95213211,1,2,2001-05-07,1970-05-27,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
95424891,1,2,2001-02-25,1966-08-23,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
95594941,1,2,2004-10-23,1966-08-31,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
96670690,1,8,2008-12-31,1993-05-13,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96801899,1,4,2018-10-04,1993-07-12,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
97165047,1,2,2005-11-03,1994-05-19,6499999,1,1,1,1,1,1,1,1,1,1,1,1,1
82306,1,8,1997-11-25,1994-06-01,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184348,1,4,2018-09-06,1994-08-16,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
235902,1,4,2018-09-06,1994-10-06,6499999,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
259231,1,2,2005-11-03,1994-09-13,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
295011,1,8,2008-12-31,1994-11-10,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382015,1,8,2008-12-31,1995-01-09,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451424,1,8,2008-12-31,1995-02-15,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530449,2,8,2008-12-31,1999-01-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543108,1,8,1991-10-24,1979-09-27,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603454,1,8,2007-02-13,1995-05-12,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
655135,1,8,2008-12-31,1995-03-28,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666428,1,8,2015-02-09,1995-06-19,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
681634,1,8,2008-12-31,1995-07-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682625,1,8,2008-12-31,1982-10-07,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696696,1,4,2018-11-06,1995-07-13,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
698609,2,2,2005-11-03,2000-08-02,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
698609,1,2,2005-11-03,1995-07-13,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
1000428,2,2,2005-11-03,1997-04-02,6424701,1,1,1,1,1,1,1,1,1,1,1,1,1
1009908,1,2,2004-08-28,1996-01-19,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
1023628,1,8,2008-12-31,1996-01-31,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037656,1,4,2018-09-04,1996-02-08,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1066723,1,8,2008-12-31,1996-02-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072597,2,8,2008-12-31,1999-12-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072597,2,8,2008-12-31,2001-10-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1086342,1,8,2019-08-09,1996-02-13,6424704,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
1187961,1,2,2005-08-27,1996-05-10,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
1196238,1,4,2018-09-06,1996-05-13,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1198343,1,4,2021-03-16,1996-04-30,6424703,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1259518,1,2,2001-03-16,1996-05-24,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
1346674,1,8,2016-09-30,1996-07-02,6424703,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1391055,1,8,2008-12-31,1996-08-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413121,1,8,2005-06-29,1996-09-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1558716,1,8,2015-03-02,1996-11-12,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1559914,2,8,2011-02-18,2001-07-23,6424703,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586833,1,8,1985-10-31,1971-01-27,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609024,2,8,2005-12-27,1999-01-22,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642480,1,8,2008-12-31,1997-01-24,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1743090,2,4,2018-09-06,1998-03-18,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1782669,1,4,2018-11-29,1997-03-06,6493000,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1789942,1,8,2010-05-25,1997-03-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864151,1,2,2004-12-24,1997-02-07,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
1957036,1,8,1997-06-11,1997-06-11,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000895,2,8,2019-12-23,2001-02-23,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
2031139,1,2,2005-08-27,1997-06-24,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
2046751,1,8,2015-02-09,1997-04-19,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2057576,1,8,2011-09-30,1997-08-20,6424704,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2200634,1,4,2018-09-06,1997-10-30,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2221805,1,8,1998-05-31,1997-10-16,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2234924,1,8,2014-04-12,1997-11-13,6424703,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2303686,1,8,2009-05-11,1997-10-15,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316922,1,8,2008-03-27,1997-12-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2326434,1,8,2013-06-28,1997-12-23,6424703,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2335109,2,2,2003-02-26,2003-02-26,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
2357417,1,4,2018-11-28,1997-12-19,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2398976,2,2,2003-08-28,2003-08-28,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
2417755,1,2,2020-04-23,1998-02-13,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
2582212,2,8,2010-12-28,1999-01-27,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2582212,2,8,2010-12-28,2000-01-10,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2587492,1,2,2005-11-03,1998-06-19,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
2653966,1,4,2018-09-11,1998-07-30,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2698001,1,8,2018-10-04,1998-07-31,6424704,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2730398,1,8,2008-12-31,1987-03-12,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2904125,1,2,2005-11-03,1998-12-01,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
2988257,1,8,2015-02-09,1999-01-14,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3009113,1,8,2002-01-30,1999-02-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3023722,1,8,2008-12-31,1998-01-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3149086,1,8,2018-08-27,1999-05-06,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
3199508,1,8,2015-02-09,1999-06-01,6463800,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3219065,1,4,2018-09-06,1999-06-07,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
3269540,1,2,2005-08-27,1999-06-25,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
3446842,1,8,2015-06-16,1999-10-07,6424704,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3540382,1,8,1983-07-13,1975-12-29,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3564770,1,8,2015-02-09,1979-08-31,6424704,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3601357,1,2,2020-09-30,2000-01-18,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
3626764,2,8,2002-01-10,2000-09-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3634460,1,8,2008-12-31,2000-01-31,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3644385,1,4,2018-10-17,2000-02-16,6499999,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
3711697,1,8,2015-02-09,2000-03-15,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
3765039,1,4,2018-10-04,1987-09-01,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
4117836,1,8,2008-12-31,2000-10-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4135272,1,2,2005-11-03,2000-11-10,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
4166781,1,8,2008-12-31,1971-07-19,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4179861,1,8,2018-09-01,2000-11-22,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
4363224,1,8,2012-01-24,2001-03-22,6424703,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4405901,1,4,2018-09-06,2001-02-09,6424703,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
4490694,1,8,1983-06-10,1977-12-21,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4663561,1,2,2005-11-03,2001-09-03,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
4722146,1,8,2015-02-09,1980-08-06,6493000,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
4780760,1,8,2010-03-27,2001-10-24,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4804353,1,2,2005-08-27,2001-11-22,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
4892098,1,8,2013-03-01,2001-12-05,6424703,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5123285,1,8,2004-02-03,2002-06-24,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5194149,1,8,2011-08-06,2002-06-14,6424704,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5269976,1,2,2002-09-04,2002-09-04,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
5277312,1,2,2002-09-02,2002-09-02,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
5413165,1,4,2019-01-30,2002-11-28,6424704,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
5433161,1,4,2019-01-24,2002-12-16,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
5494591,1,2,NA,2003-01-27,6424704,1,1,1,1,1,1,1,1,1,1,1,1,1
5580585,1,8,2019-06-13,2003-02-26,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
5647626,1,4,2022-06-07,2003-05-16,6424704,1,1,1,1,1,1,1,1,1,1,1,1,NA
5745533,1,2,NA,2003-06-25,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
5861620,1,8,2008-12-31,1978-10-30,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6036911,1,8,2015-08-05,2003-11-24,6424703,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6267304,1,4,2018-10-04,2004-05-10,6424701,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
6493506,1,8,1983-04-20,1975-11-06,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6970227,1,8,2009-06-26,2004-07-22,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6982955,1,8,2006-12-18,2004-08-10,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7052616,1,4,2019-01-17,1966-10-28,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
7097064,1,2,2004-11-24,2004-11-24,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
7211070,1,4,2018-11-22,2005-02-04,6424704,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
10929578,1,4,2018-10-25,1968-01-08,6493000,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
11431079,1,2,2020-04-13,1978-06-06,6493000,1,1,1,1,1,1,1,1,1,1,1,1,1
18979377,1,8,1996-06-30,1969-02-24,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19495266,1,2,2005-09-24,1984-02-13,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
19844133,1,8,2001-07-25,1977-10-27,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20622809,1,2,2002-06-08,1985-03-11,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
21152384,1,8,1988-08-01,1980-01-04,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21156278,1,8,2008-12-31,1980-05-13,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21597133,1,2,2000-08-07,1969-03-20,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
21599683,1,8,1993-11-01,1969-07-04,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21608005,1,8,1997-06-30,1970-06-24,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22760839,2,2,2005-11-03,1999-04-27,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
23613128,1,8,2008-12-31,1989-03-03,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24165078,1,8,2008-12-31,1988-08-19,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24830879,1,2,2005-11-03,1988-08-23,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
24922668,1,8,1996-02-28,1988-07-29,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25040718,1,8,2005-05-23,1991-08-23,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25481565,1,4,2019-01-24,1988-11-18,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
25618745,1,4,2018-12-06,1989-02-22,6493000,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
26412759,1,8,2015-02-09,1990-03-14,6499999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
26413245,1,4,2020-10-22,1990-03-19,6424703,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
26489195,1,2,2022-06-15,1990-08-30,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
27242155,1,8,1994-04-27,1975-03-26,6435201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27629740,1,4,2019-01-15,1981-10-06,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
27669753,1,8,2022-04-25,1981-12-26,6424703,1,1,1,1,1,1,1,1,1,1,1,1,NA
28076826,1,8,2008-12-31,1983-03-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28885036,1,2,2003-12-26,1984-08-13,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
29770310,1,2,2005-09-24,1969-09-03,6424703,1,1,1,1,1,1,1,1,1,1,1,1,1
33737818,2,8,2010-06-07,2005-11-23,6424702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35787522,2,4,2019-01-15,1995-04-04,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
35787522,1,4,2019-01-15,1989-08-30,6424703,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
36246098,2,8,2003-12-03,1999-05-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50040708,1,8,1990-06-11,1978-10-03,6493000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36932416,1,8,2008-12-31,1991-08-19,6424701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
