cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,cnae_fiscal_principal,ativa_em_2010,ativa_em_2011,ativa_em_2012,ativa_em_2013,ativa_em_2014,ativa_em_2015,ativa_em_2016,ativa_em_2017,ativa_em_2018,ativa_em_2019,ativa_em_2020,ativa_em_2021,ativa_em_2022
80959638,2,2,2020-10-28,2020-10-28,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
81054686,2,2,2017-11-09,2017-11-09,6424703,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
81099491,2,2,2020-12-08,2020-12-08,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
81192106,2,2,2021-06-01,2021-06-01,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
81367880,2,2,2021-10-18,2021-10-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
81466286,2,2,2020-07-08,2020-07-08,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
81466286,2,2,2021-06-29,2021-06-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
95796660,1,8,2008-09-12,1992-12-04,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81607046,2,2,2020-02-17,2020-02-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
81607046,2,2,2020-02-17,2020-02-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
81706616,2,2,2017-08-11,2017-08-11,6424703,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
81706616,2,2,2021-10-14,2021-10-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
81723108,2,2,2021-09-06,2021-09-06,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
82065285,2,2,2022-01-15,2022-01-15,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
82527557,2,2,2016-08-22,2016-08-22,6424703,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
82639451,2,2,2021-02-11,2021-02-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
82639451,2,2,2021-02-11,2021-02-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
82639451,2,2,2021-04-08,2021-04-08,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
84974278,2,2,2021-07-19,2021-07-19,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
86389236,2,2,2021-11-11,2021-11-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
87510475,2,2,2021-10-13,2021-10-13,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
87779625,2,2,2021-03-03,2021-03-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
87779625,2,2,2021-12-17,2021-12-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
87780268,2,2,2020-11-04,2020-11-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
87780268,2,2,2021-07-07,2021-07-07,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
87780284,2,2,2020-06-01,2020-06-01,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
87781530,2,2,2020-01-14,2020-01-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
87781530,2,2,2022-01-11,2022-01-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
87795639,2,2,2020-06-25,2020-06-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
87900411,2,2,2022-02-01,2022-02-01,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
87900601,2,2,2021-06-23,2021-06-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
88038260,2,2,2020-03-11,2020-03-11,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
3459850,2,2,2020-10-30,2020-10-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
88099247,2,2,2020-09-17,2020-09-17,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
88894548,2,2,2021-03-23,2021-03-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
88894548,2,2,2021-07-21,2021-07-21,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
90729369,2,2,2020-04-03,2020-04-03,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
91159764,2,2,2021-10-29,2021-10-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
91586982,2,2,2021-10-07,2021-10-07,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
91586982,2,2,2021-10-07,2021-10-07,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
92555150,2,2,2021-10-18,2021-10-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
95594941,2,2,2020-11-04,2020-11-04,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
97489280,2,2,2019-03-20,2019-03-20,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
698609,2,2,2020-01-23,2020-01-23,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
698609,2,2,2021-08-26,2021-08-26,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
698609,2,2,2021-10-14,2021-10-14,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
815319,2,2,2020-01-30,2020-01-30,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
815319,2,2,2020-09-25,2020-09-25,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
971300,2,2,2019-12-10,2019-12-10,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
1039011,2,2,2021-09-06,2021-09-06,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1060307,2,2,2021-02-18,2021-02-18,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1155801,2,2,2021-02-10,2021-02-10,6424704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1259518,2,2,2021-11-29,2021-11-29,6424703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
